sep=,,
Series,Time,Value
PM10,31-12-19 00:01,"26,1"
PM10,31-12-19 00:03,"26,53"
PM10,31-12-19 00:06,"26,89"
PM10,31-12-19 00:09,"26,62"
PM10,31-12-19 00:11,"27,21"
PM10,31-12-19 00:14,"27,2"
PM10,31-12-19 00:17,"26,97"
PM10,31-12-19 00:20,"26,92"
PM10,31-12-19 00:22,"27,73"
PM10,31-12-19 00:25,"27,66"
PM10,31-12-19 00:28,"28,61"
PM10,31-12-19 00:30,"28,42"
PM10,31-12-19 00:33,"28,28"
PM10,31-12-19 00:36,29
PM10,31-12-19 00:39,"29,71"
PM10,31-12-19 00:42,"28,69"
PM10,31-12-19 00:44,"29,15"
PM10,31-12-19 00:47,"29,94"
PM10,31-12-19 00:50,"29,25"
PM10,31-12-19 00:52,"29,49"
PM10,31-12-19 00:55,"29,66"
PM10,31-12-19 00:58,"29,67"
PM10,31-12-19 01:01,"29,61"
PM10,31-12-19 01:03,"28,4"
PM10,31-12-19 01:06,"29,46"
PM10,31-12-19 01:09,"28,88"
PM10,31-12-19 01:11,"29,76"
PM10,31-12-19 01:14,"30,6"
PM10,31-12-19 01:17,"30,7"
PM10,31-12-19 01:20,"31,03"
PM10,31-12-19 01:22,"31,6"
PM10,31-12-19 01:25,"31,91"
PM10,31-12-19 01:28,"32,38"
PM10,31-12-19 01:33,"32,82"
PM10,31-12-19 01:36,"32,85"
PM10,31-12-19 01:39,"33,05"
PM10,31-12-19 01:41,"33,27"
PM10,31-12-19 01:44,"32,79"
PM10,31-12-19 01:47,"32,62"
PM10,31-12-19 01:49,"33,24"
PM10,31-12-19 01:52,"32,86"
PM10,31-12-19 01:55,"32,82"
PM10,31-12-19 01:57,"34,1"
PM10,31-12-19 02:00,"34,13"
PM10,31-12-19 02:03,"34,65"
PM10,31-12-19 02:06,"35,08"
PM10,31-12-19 02:08,"35,1"
PM10,31-12-19 02:11,"35,05"
PM10,31-12-19 02:14,"34,77"
PM10,31-12-19 02:16,"35,65"
PM10,31-12-19 02:19,"35,77"
PM10,31-12-19 02:22,"36,71"
PM10,31-12-19 02:25,"36,78"
PM10,31-12-19 02:27,"37,43"
PM10,31-12-19 02:30,"36,95"
PM10,31-12-19 02:33,"37,09"
PM10,31-12-19 02:35,"37,5"
PM10,31-12-19 02:38,"35,71"
PM10,31-12-19 02:41,"37,48"
PM10,31-12-19 02:43,"38,07"
PM10,31-12-19 02:46,"37,61"
PM10,31-12-19 02:49,"38,21"
PM10,31-12-19 02:52,"37,57"
PM10,31-12-19 02:54,"38,29"
PM10,31-12-19 02:57,"38,69"
PM10,31-12-19 03:00,"39,04"
PM10,31-12-19 03:03,"39,71"
PM10,31-12-19 03:05,"40,65"
PM10,31-12-19 03:08,"41,94"
PM10,31-12-19 03:11,"40,52"
PM10,31-12-19 03:14,"41,52"
PM10,31-12-19 03:17,"41,87"
PM10,31-12-19 03:19,"40,97"
PM10,31-12-19 03:22,"42,69"
PM10,31-12-19 03:25,"42,69"
PM10,31-12-19 03:27,"44,96"
PM10,31-12-19 03:30,"45,17"
PM10,31-12-19 03:33,"46,01"
PM10,31-12-19 03:36,"46,44"
PM10,31-12-19 03:38,"46,42"
PM10,31-12-19 03:41,"46,54"
PM10,31-12-19 03:44,"48,14"
PM10,31-12-19 03:46,"49,81"
PM10,31-12-19 03:49,"47,95"
PM10,31-12-19 03:52,"49,06"
PM10,31-12-19 03:55,"50,75"
PM10,31-12-19 03:57,"51,08"
PM10,31-12-19 04:00,"51,81"
PM10,31-12-19 04:03,"54,16"
PM10,31-12-19 04:06,"54,71"
PM10,31-12-19 04:08,"55,19"
PM10,31-12-19 04:11,"55,36"
PM10,31-12-19 04:14,"57,22"
PM10,31-12-19 04:16,"59,8"
PM10,31-12-19 04:19,"59,69"
PM10,31-12-19 04:22,"61,19"
PM10,31-12-19 04:25,59
PM10,31-12-19 04:27,"61,88"
PM10,31-12-19 04:30,"61,88"
PM10,31-12-19 04:33,"65,62"
PM10,31-12-19 04:35,"66,19"
PM10,31-12-19 04:38,"69,29"
PM10,31-12-19 04:41,"71,7"
PM10,31-12-19 04:43,"81,45"
PM10,31-12-19 04:46,"85,78"
PM10,31-12-19 04:49,"90,45"
PM10,31-12-19 04:51,"88,64"
PM10,31-12-19 04:54,"91,35"
PM10,31-12-19 04:57,"96,56"
PM10,31-12-19 05:00,"94,8"
PM10,31-12-19 05:02,"100,63"
PM10,31-12-19 05:05,"100,34"
PM10,31-12-19 05:08,"102,23"
PM10,31-12-19 05:11,"102,02"
PM10,31-12-19 05:13,"106,52"
PM10,31-12-19 05:16,"108,86"
PM10,31-12-19 05:19,"111,56"
PM10,31-12-19 05:22,"116,76"
PM10,31-12-19 05:24,"116,96"
PM10,31-12-19 05:27,"115,66"
PM10,31-12-19 05:30,"114,45"
PM10,31-12-19 05:32,"111,51"
PM10,31-12-19 05:35,"112,74"
PM10,31-12-19 05:38,"108,53"
PM10,31-12-19 05:41,"112,16"
PM10,31-12-19 05:43,"111,59"
PM10,31-12-19 05:46,"108,57"
PM10,31-12-19 05:49,"109,7"
PM10,31-12-19 05:52,"113,18"
PM10,31-12-19 05:54,"109,93"
PM10,31-12-19 05:57,"114,17"
PM10,31-12-19 06:00,"107,44"
PM10,31-12-19 06:02,108
PM10,31-12-19 06:05,"115,25"
PM10,31-12-19 06:08,"112,07"
PM10,31-12-19 06:11,"111,4"
PM10,31-12-19 06:13,"114,64"
PM10,31-12-19 06:16,"114,29"
PM10,31-12-19 06:19,"119,9"
PM10,31-12-19 06:21,"116,86"
PM10,31-12-19 06:24,"109,92"
PM10,31-12-19 06:27,"115,07"
PM10,31-12-19 06:29,"110,28"
PM10,31-12-19 06:32,"115,4"
PM10,31-12-19 06:35,"113,55"
PM10,31-12-19 06:38,"104,47"
PM10,31-12-19 06:40,"112,76"
PM10,31-12-19 06:43,"112,26"
PM10,31-12-19 06:46,"117,96"
PM10,31-12-19 06:48,"111,31"
PM10,31-12-19 06:51,"103,21"
PM10,31-12-19 06:54,"93,72"
PM10,31-12-19 06:57,"97,8"
PM10,31-12-19 06:59,"132,71"
PM10,31-12-19 07:02,"86,63"
PM10,31-12-19 07:05,"91,06"
PM10,31-12-19 07:07,"98,52"
PM10,31-12-19 07:10,"82,27"
PM10,31-12-19 07:13,"78,07"
PM10,31-12-19 07:15,"80,14"
PM10,31-12-19 07:18,"74,34"
PM10,31-12-19 07:21,"76,75"
PM10,31-12-19 07:23,"82,49"
PM10,31-12-19 07:26,"87,39"
PM10,31-12-19 07:29,"69,88"
PM10,31-12-19 07:32,"81,38"
PM10,31-12-19 07:34,"75,67"
PM10,31-12-19 07:37,"80,92"
PM10,31-12-19 07:40,"94,83"
PM10,31-12-19 07:42,"109,62"
PM10,31-12-19 07:45,"111,5"
PM10,31-12-19 07:48,"93,86"
