sep=,,
Series,Time,Value
PM2.5,31-12-19 00:01,"23,87"
PM2.5,31-12-19 00:03,"24,16"
PM2.5,31-12-19 00:06,"24,51"
PM2.5,31-12-19 00:09,"24,21"
PM2.5,31-12-19 00:11,"24,7"
PM2.5,31-12-19 00:14,"24,75"
PM2.5,31-12-19 00:17,"24,63"
PM2.5,31-12-19 00:20,"24,52"
PM2.5,31-12-19 00:22,"25,21"
PM2.5,31-12-19 00:25,"25,17"
PM2.5,31-12-19 00:28,"26,05"
PM2.5,31-12-19 00:30,"25,9"
PM2.5,31-12-19 00:33,"25,79"
PM2.5,31-12-19 00:36,"26,37"
PM2.5,31-12-19 00:39,"27,06"
PM2.5,31-12-19 00:42,"26,16"
PM2.5,31-12-19 00:44,"26,54"
PM2.5,31-12-19 00:47,"27,24"
PM2.5,31-12-19 00:50,"26,55"
PM2.5,31-12-19 00:52,"26,77"
PM2.5,31-12-19 00:55,"26,87"
PM2.5,31-12-19 00:58,"26,15"
PM2.5,31-12-19 01:01,"26,66"
PM2.5,31-12-19 01:03,"25,83"
PM2.5,31-12-19 01:06,"26,6"
PM2.5,31-12-19 01:09,"26,19"
PM2.5,31-12-19 01:11,"26,99"
PM2.5,31-12-19 01:14,"27,66"
PM2.5,31-12-19 01:17,"27,82"
PM2.5,31-12-19 01:20,"28,13"
PM2.5,31-12-19 01:22,"28,55"
PM2.5,31-12-19 01:25,"28,91"
PM2.5,31-12-19 01:28,"29,28"
PM2.5,31-12-19 01:33,"29,69"
PM2.5,31-12-19 01:36,"29,69"
PM2.5,31-12-19 01:39,"29,94"
PM2.5,31-12-19 01:41,"30,07"
PM2.5,31-12-19 01:44,"29,69"
PM2.5,31-12-19 01:47,"29,62"
PM2.5,31-12-19 01:49,"30,06"
PM2.5,31-12-19 01:52,"29,71"
PM2.5,31-12-19 01:55,"29,78"
PM2.5,31-12-19 01:57,"30,84"
PM2.5,31-12-19 02:00,"30,89"
PM2.5,31-12-19 02:03,"31,34"
PM2.5,31-12-19 02:06,"31,75"
PM2.5,31-12-19 02:08,"31,82"
PM2.5,31-12-19 02:11,"31,71"
PM2.5,31-12-19 02:14,"31,49"
PM2.5,31-12-19 02:16,"32,19"
PM2.5,31-12-19 02:19,"32,29"
PM2.5,31-12-19 02:22,"33,08"
PM2.5,31-12-19 02:25,"33,13"
PM2.5,31-12-19 02:27,"33,64"
PM2.5,31-12-19 02:30,"33,32"
PM2.5,31-12-19 02:33,"33,48"
PM2.5,31-12-19 02:35,"33,77"
PM2.5,31-12-19 02:38,"32,32"
PM2.5,31-12-19 02:41,"33,73"
PM2.5,31-12-19 02:43,"34,21"
PM2.5,31-12-19 02:46,"33,83"
PM2.5,31-12-19 02:49,"34,33"
PM2.5,31-12-19 02:52,"33,83"
PM2.5,31-12-19 02:54,"34,48"
PM2.5,31-12-19 02:57,"34,72"
PM2.5,31-12-19 03:00,"35,01"
PM2.5,31-12-19 03:03,"35,48"
PM2.5,31-12-19 03:05,"36,43"
PM2.5,31-12-19 03:08,"36,8"
PM2.5,31-12-19 03:11,"36,17"
